Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Shop location
abigaille-strapless-bubble-hem-mini-dress-check,Abigaille Strapless Bubble Hem Mini Dress Check,Size,US 8,Color,Check,,,141426-1289579,,,900
abigaille-strapless-bubble-hem-mini-dress-check,Abigaille Strapless Bubble Hem Mini Dress Check,Size,US 10,Color,Check,,,141426-1289580,,,900
abigaille-strapless-bubble-hem-mini-dress-check,Abigaille Strapless Bubble Hem Mini Dress Check,Size,US 12,Color,Check,,,141426-1289581,,,900
about-a-girl-maxi-dress-chocolate,About A Girl Maxi Dress Chocolate,Size,US 0,Color,Chocolate,,,133632-1241338,,,900
about-a-girl-maxi-dress-chocolate,About A Girl Maxi Dress Chocolate,Size,US 2,Color,Chocolate,,,133632-1241339,,,900
about-a-girl-maxi-dress-chocolate,About A Girl Maxi Dress Chocolate,Size,US 4,Color,Chocolate,,,133632-1241340,,,900
about-a-girl-maxi-dress-chocolate,About A Girl Maxi Dress Chocolate,Size,US 6,Color,Chocolate,,,133632-1241341,,,900
about-a-girl-maxi-dress-chocolate,About A Girl Maxi Dress Chocolate,Size,US 8,Color,Chocolate,,,133632-1241342,,,900
about-a-girl-maxi-dress-chocolate,About A Girl Maxi Dress Chocolate,Size,US 10,Color,Chocolate,,,133632-1241343,,,900
about-a-girl-maxi-dress-chocolate,About A Girl Maxi Dress Chocolate,Size,US 12,Color,Chocolate,,,133632-1241344,,,900
about-a-girl-maxi-dress-red,About A Girl Maxi Dress Red,Size,US 0,Color,Red,,,137680-1265405,,,900
about-a-girl-maxi-dress-red,About A Girl Maxi Dress Red,Size,US 2,Color,Red,,,137680-1265406,,,900
about-a-girl-maxi-dress-red,About A Girl Maxi Dress Red,Size,US 4,Color,Red,,,137680-1265407,,,900
about-a-girl-maxi-dress-red,About A Girl Maxi Dress Red,Size,US 6,Color,Red,,,137680-1265408,,,900
about-a-girl-maxi-dress-red,About A Girl Maxi Dress Red,Size,US 8,Color,Red,,,137680-1265409,,,900
about-a-girl-maxi-dress-red,About A Girl Maxi Dress Red,Size,US 10,Color,Red,,,137680-1265410,,,900
about-a-girl-maxi-dress-red,About A Girl Maxi Dress Red,Size,US 12,Color,Red,,,137680-1265411,,,900
abria-halter-textured-mini-dress-white,Abria Halter Textured Mini Dress White,Size,US 0,Color,White,,,152188-1355236,,,900
abria-halter-textured-mini-dress-white,Abria Halter Textured Mini Dress White,Size,US 2,Color,White,,,152188-1355237,,,900
abria-halter-textured-mini-dress-white,Abria Halter Textured Mini Dress White,Size,US 4,Color,White,,,152188-1355238,,,900
abria-halter-textured-mini-dress-white,Abria Halter Textured Mini Dress White,Size,US 6,Color,White,,,152188-1355239,,,900
abria-halter-textured-mini-dress-white,Abria Halter Textured Mini Dress White,Size,US 8,Color,White,,,152188-1355240,,,900
abria-halter-textured-mini-dress-white,Abria Halter Textured Mini Dress White,Size,US 10,Color,White,,,152188-1355241,,,900
abria-halter-textured-mini-dress-white,Abria Halter Textured Mini Dress White,Size,US 12,Color,White,,,152188-1355242,,,900
absynth-long-sleeve-mini-dress-blue,Absynth Long Sleeve Mini Dress Blue,Size,US 0,Color,Blue,,,140789-1285379,,,900
absynth-long-sleeve-mini-dress-blue,Absynth Long Sleeve Mini Dress Blue,Size,US 2,Color,Blue,,,140789-1285380,,,900
absynth-long-sleeve-mini-dress-blue,Absynth Long Sleeve Mini Dress Blue,Size,US 4,Color,Blue,,,140789-1285381,,,900
absynth-long-sleeve-mini-dress-blue,Absynth Long Sleeve Mini Dress Blue,Size,US 6,Color,Blue,,,140789-1285382,,,900
absynth-long-sleeve-mini-dress-blue,Absynth Long Sleeve Mini Dress Blue,Size,US 8,Color,Blue,,,140789-1285383,,,900
absynth-long-sleeve-mini-dress-blue,Absynth Long Sleeve Mini Dress Blue,Size,US 10,Color,Blue,,,140789-1285384,,,900
absynth-long-sleeve-mini-dress-blue,Absynth Long Sleeve Mini Dress Blue,Size,US 12,Color,Blue,,,140789-1285385,,,900
absynth-long-sleeve-mini-dress-blue,Absynth Long Sleeve Mini Dress Blue,Size,US 14,Color,Blue,,,140789-1285386,,,900
absynth-long-sleeve-mini-dress-blue,Absynth Long Sleeve Mini Dress Blue,Size,US 16,Color,Blue,,,140789-1285387,,,900
absynth-long-sleeve-mini-dress-blue,Absynth Long Sleeve Mini Dress Blue,Size,US 18,Color,Blue,,,140789-1285388,,,900
absynth-long-sleeve-mini-dress-blue,Absynth Long Sleeve Mini Dress Blue,Size,US 20,Color,Blue,,,140789-1285389,,,900
ace-of-hearts-backless-maxi-dress-black,Ace Of Hearts Backless Maxi Dress Black,Size,US 0,Color,Black,,,141252-1288431,,,900
ace-of-hearts-backless-maxi-dress-black,Ace Of Hearts Backless Maxi Dress Black,Size,US 2,Color,Black,,,141252-1288432,,,900
ace-of-hearts-backless-maxi-dress-black,Ace Of Hearts Backless Maxi Dress Black,Size,US 4,Color,Black,,,141252-1288433,,,900
ace-of-hearts-backless-maxi-dress-black,Ace Of Hearts Backless Maxi Dress Black,Size,US 6,Color,Black,,,141252-1288434,,,900
ace-of-hearts-backless-maxi-dress-black,Ace Of Hearts Backless Maxi Dress Black,Size,US 8,Color,Black,,,141252-1288435,,,900
ace-of-hearts-backless-maxi-dress-black,Ace Of Hearts Backless Maxi Dress Black,Size,US 10,Color,Black,,,141252-1288436,,,900
